time,AGU,BCN,BCS,CAM,CHH,CHP,CMX,COA,COL,DUR,GRO,GUA,HID,JAL,MEX,MIC,MOR,NAY,NLE,OAX,PUE,QUE,ROO,SIN,SLP,SON,TAB,TAM,TLA,VER,YUC,ZAC
2021-08-01,12.34,20.85,23.82,23.2,17.71,20.45,13.0,21.51,23.06,15.04,19.86,13.64,13.97,17.14,9.48,14.82,16.3,22.56,20.51,18.13,12.67,15.15,25.02,24.3,19.84,23.91,23.87,23.77,9.12,19.67,23.24,13.49
2021-09-01,12.42,19.84,22.3,23.17,15.34,20.05,12.85,19.52,22.75,13.95,19.62,13.77,14.4,17.09,9.52,14.7,16.28,22.4,19.65,17.88,12.98,15.42,24.96,23.79,19.63,22.04,23.97,22.83,9.55,19.86,23.0,13.19
2021-10-01,10.0,13.84,19.6,23.27,10.89,19.89,12.51,16.29,23.01,11.04,19.59,12.17,13.6,15.81,8.48,14.02,15.56,22.35,16.69,17.65,11.91,13.87,24.37,21.63,17.82,14.77,23.78,20.33,8.3,18.85,22.27,10.5
2021-11-01,5.37,11.98,16.48,19.4,6.08,17.08,9.36,10.73,20.69,6.65,18.14,7.65,9.08,11.33,4.67,10.23,11.7,18.3,11.71,14.56,8.45,9.24,21.02,16.93,13.63,11.01,20.55,15.7,4.06,15.33,18.54,5.75
2021-12-01,4.01,7.54,13.85,19.51,5.05,16.53,8.58,10.86,19.66,4.65,17.8,6.32,6.67,9.68,4.67,8.46,11.31,14.87,10.88,13.11,7.7,8.29,20.52,12.87,12.73,7.75,20.82,15.59,3.0,15.32,18.53,4.35
2022-01-01,3.6,7.87,12.82,18.22,1.48,16.1,8.53,4.69,18.56,1.98,17.44,6.32,7.32,9.16,3.63,8.84,11.17,13.89,5.67,13.53,7.66,8.22,19.21,11.96,10.44,6.53,19.44,9.97,3.45,13.28,16.85,3.64
2022-02-01,4.39,7.97,11.31,19.19,1.27,15.96,9.14,5.37,18.17,2.07,18.1,7.01,7.42,9.81,4.16,9.4,11.71,13.32,6.41,13.8,7.71,8.35,20.24,10.11,10.42,4.74,19.89,9.79,3.4,12.69,18.3,4.07
2022-03-01,5.94,9.46,12.39,20.36,4.2,17.73,10.98,9.89,16.05,4.84,17.69,8.35,9.32,10.36,5.62,9.96,13.47,12.45,9.64,15.16,9.32,10.44,21.61,10.47,12.35,6.54,21.24,13.5,4.94,14.79,19.09,5.53
2022-04-01,9.08,11.83,14.67,22.39,10.25,19.47,13.44,16.45,18.27,10.23,19.68,11.71,12.97,12.98,8.02,12.79,15.73,15.5,17.01,16.81,12.3,13.82,23.09,15.34,18.32,11.29,23.23,20.74,7.84,18.52,21.27,9.41
2022-05-01,12.93,13.92,16.79,23.35,13.87,20.25,14.3,20.07,20.01,12.77,20.56,13.8,14.0,15.57,9.06,14.46,17.38,19.24,20.29,18.64,13.19,15.97,24.14,18.36,20.96,14.35,24.56,23.75,8.14,20.34,22.42,12.37
